pais,codigo_pais,cidade,ano,data_inicio,data_fim,publico_previsto,capacidade_max,virtual,titulo,url,slug
Brasil,BR,Rio De Janeiro,2015,2015-08-29,,240,240,não,WordCamp Rio de Janeiro,https://riodejaneiro.wordcamp.org/2015/,wordcamp-rio-de-janeiro-2
Brasil,BR,Sao Paulo,2015,2015-11-28,,300,300,não,WordCamp São Paulo,https://saopaulo.wordcamp.org/2015/,wordcamp-sao-paulo-4
Brasil,BR,Belo Horizonte,2016,2016-07-23,,300,,não,WordCamp Belo Horizonte,https://belohorizonte.wordcamp.org/2016/,wordcamp-belo-horizonte-3
Brasil,BR,Fortaleza,2016,2016-08-13,2016-08-14,200,200,não,WordCamp Fortaleza,https://fortaleza.wordcamp.org/2016,wordcamp-fortaleza
Brasil,BR,Rio De Janeiro,2016,2016-09-24,,250,200,não,WordCamp Rio de Janeiro,https://riodejaneiro.wordcamp.org/2016/,wordcamp-rio-de-janeiro-2016
Brasil,BR,Sao Paulo,2016,2016-12-10,,700,,não,WordCamp São Paulo,https://saopaulo.wordcamp.org/2016/,wordcamp-sao-paulo-5
Brasil,BR,Porto Alegre,2017,2017-05-06,,100,150,não,WordCamp Porto Alegre,https://portoalegre.wordcamp.org/2017/,wordcamp-porto-alegre-2017
Brasil,BR,Sao Paulo,2017,2017-12-02,,250,250,não,WordCamp São Paulo,https://saopaulo.wordcamp.org/2017/,wordcamp-sao-paulo-6
Brasil,BR,Florianopolis,2018,2018-04-07,2018-04-07,400,215,não,WordCamp Florianópolis,https://floripa.wordcamp.org/2018/,wordcamp-florianopolis
Brasil,BR,Porto Alegre,2018,2018-05-05,,150,,não,WordCamp Porto Alegre,https://portoalegre.wordcamp.org/2018/,wordcamp-porto-alegre-2018
Brasil,BR,Sao Paulo,2018,2018-10-13,2018-10-13,600,950,não,WordCamp São Paulo,https://saopaulo.wordcamp.org/2018/,wordcamp-sao-paulo-7
Brasil,BR,Florianopolis Brazil,2019,2019-04-13,2019-04-13,215,215,não,WordCamp Floripa 2019,https://floripa.wordcamp.org/2019/,wordcamp-florianopolis-brazil
Brasil,BR,Porto Alegre,2019,2019-06-15,,178,178,não,WordCamp Porto Alegre 2019,https://portoalegre.wordcamp.org/2019/,wordcamp-porto-alegre-2019
Brasil,BR,Sao Paulo,2019,2019-10-05,,700,700,não,WordCamp São Paulo,https://saopaulo.wordcamp.org/2019/,wordcamp-sao-paulo-8
